"","GeneID","Cluster","ComparisonGroup"
"577","LOC4351603","cluster2","Group1"
"578","LOC4351770","cluster2","Group1"
"579","LOC4338095","cluster2","Group1"
"580","LOC4323990","cluster2","Group1"
"581","LOC4340890","cluster2","Group1"
"582","LOC112938648","cluster2","Group1"
"583","LOC9272044","cluster2","Group1"
"584","LOC4328808","cluster2","Group1"
"585","LOC107279922","cluster2","Group1"
"586","LOC9270981","cluster2","Group1"
"587","LOC4348581","cluster2","Group1"
"588","LOC4335561","cluster2","Group1"
"589","LOC4324417","cluster2","Group1"
"590","LOC9272231","cluster2","Group1"
"591","LOC4329474","cluster2","Group1"
"592","LOC112939856","cluster2","Group1"
"593","LOC107279900","cluster2","Group1"
"594","LOC4335132","cluster2","Group1"
"595","LOC4341900","cluster2","Group1"
"596","LOC4344912","cluster2","Group1"
"597","LOC4350807","cluster2","Group1"
"598","LOC4352457","cluster2","Group1"
"599","LOC4327730","cluster2","Group1"
"600","LOC112939306","cluster2","Group1"
"601","LOC4346940","cluster2","Group1"
"602","LOC4323896","cluster2","Group1"
"603","LOC4328630","cluster2","Group1"
"604","LOC9271005","cluster2","Group1"
"605","LOC4330696","cluster2","Group1"
"606","LOC4328687","cluster2","Group1"
"607","LOC4352475","cluster2","Group1"
"608","LOC4330819","cluster2","Group1"
"609","LOC4339293","cluster2","Group1"
"610","LOC107276986","cluster2","Group1"
"611","LOC107278461","cluster2","Group1"
"612","LOC112937430","cluster2","Group1"
"613","LOC107280255","cluster2","Group1"
"614","LOC4346103","cluster2","Group1"
"615","LOC112936119","cluster2","Group1"
"616","LOC9271552","cluster2","Group1"
"617","LOC107280146","cluster2","Group1"
"618","LOC112936382","cluster2","Group1"
"619","LOC4333001","cluster2","Group1"
"620","LOC112938996","cluster2","Group1"
"621","LOC9272345","cluster2","Group1"
"622","LOC4332497","cluster2","Group1"
"623","LOC107276044","cluster2","Group1"
"624","LOC9269550","cluster2","Group1"
"625","LOC112938716","cluster2","Group1"
"626","LOC112938692","cluster2","Group1"
"627","LOC4339167","cluster2","Group1"
"628","LOC9266852","cluster2","Group1"
"629","LOC9269603","cluster2","Group1"
"630","LOC4343503","cluster2","Group1"
"631","LOC4327986","cluster2","Group1"
"632","LOC4333896","cluster2","Group1"
"633","LOC107281186","cluster2","Group1"
"634","LOC112937970","cluster2","Group1"
"635","LOC4352916","cluster2","Group1"
"636","LOC107276203","cluster2","Group1"
"637","LOC4329980","cluster2","Group1"
"638","LOC4341725","cluster2","Group1"
"639","LOC112939859","cluster2","Group1"
"640","LOC9266087","cluster2","Group1"
"641","LOC4346066","cluster2","Group1"
"642","LOC9266122","cluster2","Group1"
"643","LOC4350956","cluster2","Group1"
"644","LOC4337668","cluster2","Group1"
"645","LOC112936132","cluster2","Group1"
"646","LOC4327255","cluster2","Group1"
"647","LOC4326728","cluster2","Group1"
"648","LOC4343798","cluster2","Group1"
"649","LOC4334259","cluster2","Group1"
"650","LOC107276454","cluster2","Group1"
"651","LOC4347823","cluster2","Group1"
"652","LOC107277519","cluster2","Group1"
"653","LOC4324079","cluster2","Group1"
"654","LOC4329290","cluster2","Group1"
"655","LOC4347846","cluster2","Group1"
