"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_3731","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_3732","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae",NA
"ASV_3736","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV_3738","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax"
"ASV_3739","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales",NA,NA
"ASV_3740","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ASV_3743","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_3745","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"ASV_3748","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"ASV_3749","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales",NA,NA
"ASV_3750","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV_3751","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_3752","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"ASV_3756","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"ASV_3758","Bacteria","TA06",NA,NA,NA,NA
"ASV_3759","Bacteria","Acidobacteriota","Holophagae","Subgroup 7",NA,NA
"ASV_3760","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA
"ASV_3761","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","BSV40",NA
"ASV_3770","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"ASV_3771","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"ASV_3778","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA
"ASV_3779","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio"
"ASV_3788","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum",NA,NA
"ASV_3789","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_3790","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_3793","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"ASV_3794","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Denitratisoma"
"ASV_3796","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA
"ASV_3797","Bacteria","Planctomycetota","Phycisphaerae","mle1-8",NA,NA
"ASV_3800","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter"
"ASV_3815","Bacteria","Nitrospirota","Thermodesulfovibrionia",NA,NA,NA
"ASV_3819","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_3824","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA
"ASV_3825","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Thermoanaerobaculum"
"ASV_3827","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax"
"ASV_3829","Bacteria","Chloroflexi","Anaerolineae","SJA-15",NA,NA
"ASV_3835","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_3837","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3",NA
"ASV_3840","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ASV_3841","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_3842","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"ASV_3850","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_3865","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Phytohabitans"
"ASV_3867","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema"
"ASV_3868","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium"
"ASV_3870","Bacteria","Latescibacterota",NA,NA,NA,NA
"ASV_3871","Bacteria","Chloroflexi","Anaerolineae","C10-SB1A",NA,NA
"ASV_3872","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_3873","Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA
"ASV_3880","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"ASV_3884","Bacteria","TA06",NA,NA,NA,NA
"ASV_3885","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41",NA
"ASV_3887","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",NA
"ASV_3888","Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA
"ASV_3889","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","BSV40",NA
