"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_536",2,18,9,15,25,9,5,0,9,17,97,0,13,23,17,11,28,24,27,75,40,42,17,3,22,23,0,0,0,0,0
"ASV_537",0,0,0,0,0,8,0,13,1,9,0,2,0,0,0,4,0,0,7,0,10,5,13,10,18,67,76,16,63,52,273
"ASV_538",0,0,0,80,67,0,0,0,0,0,0,0,91,0,47,0,0,0,0,41,49,28,0,0,0,0,0,0,0,0,0
"ASV_539",0,0,0,0,28,0,0,0,0,0,0,0,59,0,46,0,0,29,25,50,20,56,0,0,0,0,0,0,0,0,0
"ASV_540",52,45,56,0,0,43,16,59,36,0,0,0,15,12,0,21,0,0,72,35,26,43,9,8,25,42,0,0,0,0,0
"ASV_541",0,0,0,69,41,0,0,0,0,0,0,0,78,0,72,0,0,47,0,43,72,0,0,0,0,0,0,0,0,0,0
"ASV_542",13,57,0,29,73,37,10,34,10,0,0,0,0,15,0,11,51,0,0,6,35,11,15,47,0,18,0,0,0,0,0
"ASV_543",0,19,7,16,43,0,13,0,26,0,15,0,12,23,27,9,28,20,19,38,38,54,3,4,13,7,0,0,0,0,0
"ASV_544",0,6,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,20,14,12,5,6,5,5,11,26,87,79,48,79,68
"ASV_545",0,19,0,0,0,0,0,0,21,97,0,106,0,14,0,0,20,0,98,12,0,0,0,31,175,96,0,0,0,0,0
"ASV_546",2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,5,2,4,4,0,15,22,82,103,92,110,74
"ASV_547",25,0,31,15,0,0,8,140,0,0,0,0,0,12,100,13,0,0,0,0,0,27,148,22,0,0,0,0,0,0,0
"ASV_548",44,17,20,15,0,17,0,30,27,0,18,0,35,27,0,0,0,0,35,41,31,54,0,0,17,0,0,30,9,0,0
"ASV_549",0,47,46,0,0,0,62,0,44,38,0,0,0,33,0,0,0,84,43,53,32,58,0,0,0,0,13,0,0,0,0
"ASV_550",67,0,0,52,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,20,26,0,0,0,0,0,0,0,0
"ASV_551",8,60,0,0,0,0,10,99,17,0,0,0,0,0,0,0,0,0,12,25,0,0,0,8,0,17,0,0,0,0,0
"ASV_552",42,0,12,48,0,10,0,0,2,0,0,0,0,94,0,14,0,0,0,0,0,169,32,23,0,17,0,0,0,0,0
"ASV_553",27,13,12,22,52,24,29,40,19,34,11,18,6,15,11,10,0,0,21,14,21,10,5,135,13,14,0,0,0,0,0
"ASV_554",27,12,17,12,0,14,3,2,28,6,0,5,13,14,29,6,44,21,13,48,34,14,13,0,34,13,0,5,0,7,0
"ASV_555",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,15,0,24,69,64,75,94,157
"ASV_556",0,0,0,26,89,0,0,0,0,0,0,0,204,38,40,0,0,53,0,37,16,39,0,0,0,0,0,0,0,0,0
"ASV_557",5,14,20,5,0,27,54,0,31,0,0,0,0,17,21,2,132,11,69,0,188,0,0,0,9,0,0,0,0,0,0
"ASV_558",17,18,0,37,108,17,0,0,8,32,27,42,0,23,0,0,0,0,56,55,16,0,24,62,30,53,0,20,0,18,0
